in_nombre,sector
AGROALIMENTACIÓN,Alimentación
ARQUITECTURA E INGENIERÍA,Arquitectura e ingeniería
AUDIOVISUAL Y ARTES PERFORMATIVAS,Audiovisual y artes
FOTOGRAFÍA,Fotografía
SALUD,Salud
TEXTIL/MODA,"Textiles, moda y confección"
TICS,TIC's
TURISMO Y ACTIVIDADES ANEXAS,Turismo y actividades
Agroalimentación,Alimentación
Arte,Audiovisual y artes
FORMACION Y E-LEARNIG,Formación y E-Learning
Moda y Complementos,"Textiles, moda y confección"
Agroindustria,Alimentación
Fotografía,Fotografía
Tic´s,TIC's
Construcción,Construcción
Seguros,Seguros
Transporte,Transporte
TTic´s,TIC's
Comunicación,Comunicación y publicidad
Medios de comunicación y publiciad,Comunicación y publicidad
"Industria, EERR, Medio ambiente y gestión de residuos",Industria ecológica
"Marino-marítima,aeroportuaria y de transporte",Transporte
Consultoría,TIC's
Energías renovables,Energías renovables
Joyería,Joyería y relojes
Actividades deportivas,Actividades deportivas
Cosmética,Cosmética
OTRO,Otros